"year","state_fips","state_name","supersector","employment_march","establishments","payroll_quarter1"
2005,31,"Nebraska","Financial Activities",69154,5964,822115000
2006,31,"Nebraska","Financial Activities",67690,6035,824690000
2007,31,"Nebraska","Financial Activities",67846,6203,853159000
2008,31,"Nebraska","Financial Activities",69049,6239,984160000
2009,31,"Nebraska","Financial Activities",68531,6148,950291000
2010,31,"Nebraska","Financial Activities",68063,6177,1006177000
2011,31,"Nebraska","Financial Activities",64772,6111,1063020000
2012,31,"Nebraska","Financial Activities",67849,6228,1144904000
2013,31,"Nebraska","Financial Activities",68077,6296,1258808000
2014,31,"Nebraska","Financial Activities",68002,6358,1315683000
2015,31,"Nebraska","Financial Activities",72882,6432,1323221000
2016,31,"Nebraska","Financial Activities",74092,6582,1325539000
2017,31,"Nebraska","Financial Activities",76403,6700,1426109000
2018,31,"Nebraska","Financial Activities",79778,6771,1503455000
2019,31,"Nebraska","Financial Activities",84427,6786,1646314000
2020,31,"Nebraska","Financial Activities",87848,6900,1773192000
2021,31,"Nebraska","Financial Activities",82264,6903,1820715000
2001,31,"Nebraska","Information",27945,925,312424000
2002,31,"Nebraska","Information",24893,888,269415000
2003,31,"Nebraska","Information",20365,922,225702000
2004,31,"Nebraska","Information",18700,888,217794000
2005,31,"Nebraska","Information",18197,899,193480000
2006,31,"Nebraska","Information",17483,925,190048000
2007,31,"Nebraska","Information",16895,961,210572000
2008,31,"Nebraska","Information",19426,971,241596000
2009,31,"Nebraska","Information",17570,968,233134000
2010,31,"Nebraska","Information",17786,934,229208000
2011,31,"Nebraska","Information",16400,907,232033000
2012,31,"Nebraska","Information",17749,942,303426000
2013,31,"Nebraska","Information",19566,909,333266000
2014,31,"Nebraska","Information",18498,895,325361000
2015,31,"Nebraska","Information",20442,885,331541000
2016,31,"Nebraska","Information",18653,915,300498000
2017,31,"Nebraska","Information",20731,929,356352000
2018,31,"Nebraska","Information",20682,915,364188000
2019,31,"Nebraska","Information",20484,919,355815000
2020,31,"Nebraska","Information",20151,911,386755000
2021,31,"Nebraska","Information",18720,909,394745000
2001,31,"Nebraska","Leisure and Hospitality",69496,4675,162610000
2002,31,"Nebraska","Leisure and Hospitality",70382,4775,166664000
2003,31,"Nebraska","Leisure and Hospitality",73297,4832,180703000
2004,31,"Nebraska","Leisure and Hospitality",75489,4909,186875000
2005,31,"Nebraska","Leisure and Hospitality",75472,4947,190965000
2006,31,"Nebraska","Leisure and Hospitality",76866,5014,200684000
2007,31,"Nebraska","Leisure and Hospitality",77969,5095,211907000
2008,31,"Nebraska","Leisure and Hospitality",80033,5097,222854000
2009,31,"Nebraska","Leisure and Hospitality",78540,5055,221428000
2010,31,"Nebraska","Leisure and Hospitality",76966,5098,222928000
2011,31,"Nebraska","Leisure and Hospitality",77337,5089,230588000
2012,31,"Nebraska","Leisure and Hospitality",80155,5179,248614000
2013,31,"Nebraska","Leisure and Hospitality",81441,5240,259417000
2014,31,"Nebraska","Leisure and Hospitality",83703,5298,273297000
2015,31,"Nebraska","Leisure and Hospitality",88189,5306,293655000
2016,31,"Nebraska","Leisure and Hospitality",91237,5400,313217000
2017,31,"Nebraska","Leisure and Hospitality",92233,5509,333781000
2018,31,"Nebraska","Leisure and Hospitality",93654,5491,353506000
2019,31,"Nebraska","Leisure and Hospitality",94347,5522,358526000
2020,31,"Nebraska","Leisure and Hospitality",92784,5416,369247000
2021,31,"Nebraska","Leisure and Hospitality",84439,5558,338630000
2001,31,"Nebraska","Manufacturing",104665,1934,815987000
2002,31,"Nebraska","Manufacturing",97156,1930,771812000
2003,31,"Nebraska","Manufacturing",98767,1966,812616000
2004,31,"Nebraska","Manufacturing",98070,1998,820965000
2005,31,"Nebraska","Manufacturing",95915,1985,825053000
2006,31,"Nebraska","Manufacturing",99749,1996,891652000
2007,31,"Nebraska","Manufacturing",82481,1990,802605000
2008,31,"Nebraska","Manufacturing",87038,1946,872710000
2009,31,"Nebraska","Manufacturing",78315,1858,772603000
2010,31,"Nebraska","Manufacturing",70661,1845,741851000
2011,31,"Nebraska","Manufacturing",73721,1822,801186000
2012,31,"Nebraska","Manufacturing",78125,1849,844653000
2013,31,"Nebraska","Manufacturing",74919,1780,828295000
2014,31,"Nebraska","Manufacturing",77934,1795,880232000
2015,31,"Nebraska","Manufacturing",87169,1785,985521000
2016,31,"Nebraska","Manufacturing",86331,1772,990615000
2017,31,"Nebraska","Manufacturing",90442,1739,1092512000
2018,31,"Nebraska","Manufacturing",95524,1735,1199122000
2019,31,"Nebraska","Manufacturing",95979,1724,1209071000
2020,31,"Nebraska","Manufacturing",96713,1715,1282436000
2021,31,"Nebraska","Manufacturing",96085,1736,1328273000
2001,31,"Nebraska","Other Services",35289,5678,148088000
2002,31,"Nebraska","Other Services",35927,5798,156703000
2003,31,"Nebraska","Other Services",35998,5727,161027000
2004,31,"Nebraska","Other Services",35573,5700,162588000
2005,31,"Nebraska","Other Services",35812,5738,165974000
2006,31,"Nebraska","Other Services",35141,5745,173506000
2007,31,"Nebraska","Other Services",35986,5804,185184000
2008,31,"Nebraska","Other Services",34704,5726,186630000
2009,31,"Nebraska","Other Services",34638,5701,190527000
2010,31,"Nebraska","Other Services",34992,5693,192340000
2011,31,"Nebraska","Other Services",34066,5589,195082000
2012,31,"Nebraska","Other Services",34358,5712,201571000
2013,31,"Nebraska","Other Services",34533,5752,200507000
2014,31,"Nebraska","Other Services",35040,5756,218543000
2015,31,"Nebraska","Other Services",36820,5785,232413000
2016,31,"Nebraska","Other Services",36178,5830,233948000
2017,31,"Nebraska","Other Services",35965,5842,245204000
2018,31,"Nebraska","Other Services",36440,5802,253286000
2019,31,"Nebraska","Other Services",36709,5795,262686000
2020,31,"Nebraska","Other Services",36048,5810,273078000
2021,31,"Nebraska","Other Services",35092,5914,275185000
2001,31,"Nebraska","Professional and Business Services",95922,6447,819691000
2002,31,"Nebraska","Professional and Business Services",103611,6500,881614000
2003,31,"Nebraska","Professional and Business Services",113050,6554,1032295000
2004,31,"Nebraska","Professional and Business Services",109161,6746,943100000
2005,31,"Nebraska","Professional and Business Services",97945,6878,894378000
2006,31,"Nebraska","Professional and Business Services",100992,7085,1106860000
2007,31,"Nebraska","Professional and Business Services",98745,7268,1106474000
2008,31,"Nebraska","Professional and Business Services",117522,7216,1127410000
2009,31,"Nebraska","Professional and Business Services",99461,7297,1073328000
2010,31,"Nebraska","Professional and Business Services",100620,7384,1086864000
2011,31,"Nebraska","Professional and Business Services",92259,7345,1115904000
2012,31,"Nebraska","Professional and Business Services",95565,7375,1170423000
2013,31,"Nebraska","Professional and Business Services",109475,7503,1329346000
2014,31,"Nebraska","Professional and Business Services",113003,7507,1356282000
2015,31,"Nebraska","Professional and Business Services",119283,7675,1511715000
2016,31,"Nebraska","Professional and Business Services",185547,7766,2097640000
2017,31,"Nebraska","Professional and Business Services",123811,7778,1566149000
2018,31,"Nebraska","Professional and Business Services",127312,7733,1660643000
2019,31,"Nebraska","Professional and Business Services",126729,7714,1639886000
2020,31,"Nebraska","Professional and Business Services",133781,7733,1788146000
2021,31,"Nebraska","Professional and Business Services",136697,7889,1933475000
2001,31,"Nebraska","Public Administration",2535,97,32658000
2002,31,"Nebraska","Public Administration",2288,86,30535000
2001,31,"Nebraska","Trade, Transportation, and Utilities",175232,13550,1019130000
2002,31,"Nebraska","Trade, Transportation, and Utilities",173341,13569,1038392000
2003,31,"Nebraska","Trade, Transportation, and Utilities",170663,13404,1014944000
2004,31,"Nebraska","Trade, Transportation, and Utilities",172988,13404,1049956000
2005,31,"Nebraska","Trade, Transportation, and Utilities",174091,13443,1092528000
2006,31,"Nebraska","Trade, Transportation, and Utilities",172845,13368,1159333000
2007,31,"Nebraska","Trade, Transportation, and Utilities",177641,13389,1248793000
2008,31,"Nebraska","Trade, Transportation, and Utilities",179166,13131,1342754000
2009,31,"Nebraska","Trade, Transportation, and Utilities",172481,12870,1266120000
2010,31,"Nebraska","Trade, Transportation, and Utilities",176404,12848,1292383000
2011,31,"Nebraska","Trade, Transportation, and Utilities",179490,12768,1364290000
2012,31,"Nebraska","Trade, Transportation, and Utilities",177255,12880,1452068000
2013,31,"Nebraska","Trade, Transportation, and Utilities",174778,12839,1438976000
2014,31,"Nebraska","Trade, Transportation, and Utilities",176357,12872,1523561000
2015,31,"Nebraska","Trade, Transportation, and Utilities",184853,13071,1603521000
2016,31,"Nebraska","Trade, Transportation, and Utilities",185294,12993,1586097000
2017,31,"Nebraska","Trade, Transportation, and Utilities",180752,12848,1658838000
2018,31,"Nebraska","Trade, Transportation, and Utilities",181903,12696,1702676000
2019,31,"Nebraska","Trade, Transportation, and Utilities",183797,12668,1746746000
2020,31,"Nebraska","Trade, Transportation, and Utilities",182935,12459,1775178000
2021,31,"Nebraska","Trade, Transportation, and Utilities",181868,12502,1832322000
2001,31,"Nebraska","Unclassified",485,567,1485000
2002,31,"Nebraska","Unclassified",24,86,112000
2003,31,"Nebraska","Unclassified",13,111,36000
2004,31,"Nebraska","Unclassified",59,164,108000
2005,31,"Nebraska","Unclassified",0,101,0
2006,31,"Nebraska","Unclassified",23,127,59000
2007,31,"Nebraska","Unclassified",6,60,65000
2008,31,"Nebraska","Unclassified",2,74,195000
2009,31,"Nebraska","Unclassified",3,72,121000
2010,31,"Nebraska","Unclassified",3,88,118000
2011,31,"Nebraska","Unclassified",15,88,79000
2012,31,"Nebraska","Unclassified",0,46,27000
2013,31,"Nebraska","Unclassified",4,71,10000
2014,31,"Nebraska","Unclassified",3,91,35000
2015,31,"Nebraska","Unclassified",61,119,246000
2016,31,"Nebraska","Unclassified",48,94,254000
2017,31,"Nebraska","Unclassified",21,20,65000
2018,31,"Nebraska","Unclassified",44,46,184000
2019,31,"Nebraska","Unclassified",40,41,164000
2020,31,"Nebraska","Unclassified",56,53,443000
2021,31,"Nebraska","Unclassified",34,33,242000
2001,32,"Nevada","Agriculture and Mining",8176,259,119145000
2002,32,"Nevada","Agriculture and Mining",6014,249,99464000
2003,32,"Nevada","Agriculture and Mining",5053,247,74999000
2004,32,"Nevada","Agriculture and Mining",6135,239,94570000
2005,32,"Nevada","Agriculture and Mining",6206,250,87794000
2006,32,"Nevada","Agriculture and Mining",8066,258,126259000
2007,32,"Nevada","Agriculture and Mining",11512,269,156472000
2008,32,"Nevada","Agriculture and Mining",8352,277,170162000
2009,32,"Nevada","Agriculture and Mining",7855,264,156789000
2010,32,"Nevada","Agriculture and Mining",7733,281,176833000
2011,32,"Nevada","Agriculture and Mining",8498,290,185926000
2012,32,"Nevada","Agriculture and Mining",10733,301,248104000
2013,32,"Nevada","Agriculture and Mining",10490,276,259208000
2014,32,"Nevada","Agriculture and Mining",9721,260,290626000
2015,32,"Nevada","Agriculture and Mining",10675,265,280153000
2016,32,"Nevada","Agriculture and Mining",10301,251,285051000
2017,32,"Nevada","Agriculture and Mining",9909,227,263018000
2018,32,"Nevada","Agriculture and Mining",13135,215,366419000
2019,32,"Nevada","Agriculture and Mining",13747,229,386986000
2020,32,"Nevada","Agriculture and Mining",13867,226,401065000
2021,32,"Nevada","Agriculture and Mining",14584,244,402613000
2001,32,"Nevada","Construction",80249,4710,678053000
2002,32,"Nevada","Construction",86851,4844,752488000
2003,32,"Nevada","Construction",93107,5091,819408000
2004,32,"Nevada","Construction",104060,5353,923147000
2005,32,"Nevada","Construction",121973,5713,1139964000
2006,32,"Nevada","Construction",138961,5931,1401801000
2007,32,"Nevada","Construction",129468,6182,1438822000
2008,32,"Nevada","Construction",112394,5981,1400940000
2009,32,"Nevada","Construction",87805,5390,1120569000
2010,32,"Nevada","Construction",60915,5003,693419000
2011,32,"Nevada","Construction",49905,4705,562736000
2012,32,"Nevada","Construction",46297,4541,518772000
2013,32,"Nevada","Construction",52335,4545,575266000
2014,32,"Nevada","Construction",58292,4629,672160000
2015,32,"Nevada","Construction",65158,4784,757739000
2016,32,"Nevada","Construction",71935,4839,849888000
2017,32,"Nevada","Construction",75392,4975,957541000
2018,32,"Nevada","Construction",80028,5142,1072023000
2019,32,"Nevada","Construction",88131,5228,1220353000
2020,32,"Nevada","Construction",91245,5375,1377747000
2021,32,"Nevada","Construction",92874,5647,1422647000
2001,32,"Nevada","Education and Health Services",75746,4663,628467000
2002,32,"Nevada","Education and Health Services",78428,5046,661658000
2003,32,"Nevada","Education and Health Services",83361,5270,720032000
2004,32,"Nevada","Education and Health Services",86573,5547,778386000
2005,32,"Nevada","Education and Health Services",94434,5808,857172000
2006,32,"Nevada","Education and Health Services",96289,6106,968049000
2007,32,"Nevada","Education and Health Services",102026,6453,1030534000
2008,32,"Nevada","Education and Health Services",104168,6681,1109994000
2009,32,"Nevada","Education and Health Services",105402,6758,1143339000
2010,32,"Nevada","Education and Health Services",107518,6852,1123570000
2011,32,"Nevada","Education and Health Services",109223,6871,1150805000
2012,32,"Nevada","Education and Health Services",111024,6974,1241841000
2013,32,"Nevada","Education and Health Services",116504,7078,1256555000
2014,32,"Nevada","Education and Health Services",117890,7296,1315201000
