"year","cz","employment_march","establishments","payroll_quarter1"
2001,436,17531,1473,79760000
2002,436,17462,1490,83417000
2003,436,17990,1493,86701000
2004,436,17715,1495,89422000
2005,436,18419,1495,90835000
2006,436,19558,1452,101090000
2007,436,19588,1473,106432000
2008,436,18799,1425,105915000
2009,436,17395,1362,101640000
2010,436,17153,1347,103018000
2011,436,17049,1343,107955000
2012,436,17628,1325,115621000
2013,436,17445,1304,115596000
2014,436,17981,1303,119368000
2015,436,17752,1268,120741000
2016,436,17650,1243,119373000
2017,436,17624,1241,130050000
2018,436,16931,1226,131510000
2019,436,16530,1227,134229000
2001,437,18432,1258,110032000
2002,437,16076,1344,91095000
2003,437,15997,1385,93668000
2004,437,16591,1360,100916000
2005,437,19265,1374,133395000
2006,437,20207,1389,142191000
2007,437,21006,1388,161592000
2008,437,18328,1379,133426000
2009,437,18134,1365,133149000
2010,437,18337,1352,137881000
2011,437,18267,1370,136796000
2012,437,18479,1360,148608000
2013,437,17934,1341,149821000
2014,437,18424,1341,155071000
2015,437,17829,1354,165454000
2016,437,17414,1357,175072000
2017,437,16928,1339,173383000
2018,437,17261,1336,166709000
2019,437,16980,1329,177637000
2001,438,86528,8774,450839000
2002,438,89964,9201,493786000
2003,438,90947,9314,511308000
2004,438,98019,9679,558854000
2005,438,103763,10217,619017000
2006,438,111670,10507,723853000
2007,438,114579,10890,794039000
2008,438,109322,10426,803420000
2009,438,100774,9773,716999000
2010,438,96374,9480,688481000
2011,438,97312,9290,721919000
2012,438,99298,9288,789537000
2013,438,100300,9315,811029000
2014,438,105656,9420,872042000
2015,438,109724,9521,914454000
2016,438,114497,9725,959148000
2017,438,117003,9988,1034753000
2018,438,120105,10043,1103057000
2019,438,120837,10021,1142634000
2001,439,20016,1345,108250000
2002,439,20779,1419,118129000
2003,439,20637,1413,118381000
2004,439,19791,1446,118719000
2005,439,20126,1441,120524000
2006,439,20461,1444,127127000
2007,439,19279,1446,129374000
2008,439,19025,1427,134621000
2009,439,18412,1387,128960000
2010,439,16940,1370,119831000
2011,439,17005,1358,123888000
2012,439,17922,1349,134226000
2013,439,17698,1372,136758000
2014,439,18429,1383,144777000
2015,439,19424,1384,153438000
2016,439,19872,1381,158921000
2017,439,21140,1308,176784000
2018,439,20309,1306,170872000
2019,439,19454,1321,173011000
2001,440,44611,3006,286429000
2002,440,44027,3041,287036000
2003,440,42712,3055,283511000
2004,440,43515,3098,298922000
2005,440,42567,3091,289836000
2006,440,43521,3133,303433000
2007,440,43894,3239,319919000
2008,440,45281,3219,331427000
2009,440,42354,3130,316770000
2010,440,41717,3064,305712000
2011,440,42292,3073,325425000
2012,440,43277,3088,353319000
2013,440,43340,3071,349095000
2014,440,43213,3051,353412000
2015,440,43113,3030,366760000
2016,440,42719,3011,375292000
2017,440,42580,3016,384207000
2018,440,42200,2959,397408000
2019,440,41817,2931,416619000
2001,441,60893,4309,397898000
2002,441,60553,4382,392296000
2003,441,60098,4420,397702000
2004,441,60923,4521,408309000
2005,441,61792,4576,437212000
2006,441,62798,4622,436756000
2007,441,61775,4656,461363000
2008,441,58723,4553,450300000
2009,441,58038,4409,444915000
2010,441,56085,4389,430837000
2011,441,55684,4261,454594000
2012,441,58528,4304,491649000
2013,441,57612,4294,483723000
2014,441,58028,4264,492293000
2015,441,59259,4270,504939000
2016,441,60144,4275,521743000
2017,441,59500,4274,533938000
2018,441,59180,4254,554488000
2019,441,60667,4252,586445000
2001,442,31364,2493,202555000
2002,442,30888,2510,199113000
2003,442,29864,2512,181831000
2004,442,29736,2484,181069000
2005,442,30696,2481,188540000
2006,442,30248,2454,202488000
2007,442,30029,2418,208250000
2008,442,30122,2345,224797000
2009,442,29458,2291,218734000
2010,442,29350,2297,209401000
2011,442,29360,2265,219912000
2012,442,28947,2282,231230000
2013,442,28381,2226,234364000
2014,442,27704,2194,246317000
2015,442,27790,2225,240074000
2016,442,28911,2238,244729000
2017,442,29266,2271,257479000
2018,442,29411,2235,255118000
2019,442,29832,2263,271151000
2001,443,24900,1847,151898000
2002,443,24556,1855,156632000
2003,443,23721,1815,143441000
2004,443,24264,1792,152095000
2005,443,23727,1778,156035000
2006,443,23841,1778,163019000
2007,443,24025,1787,169840000
2008,443,24506,1737,186464000
2009,443,23014,1702,173697000
2010,443,22841,1698,169128000
2011,443,23536,1688,187230000
2012,443,23619,1650,199158000
2013,443,23172,1622,198881000
2014,443,23533,1611,222767000
2015,443,23900,1590,215108000
2016,443,24427,1558,232040000
2017,443,23641,1543,233735000
2018,443,23250,1508,235892000
2019,443,23477,1493,233328000
2001,444,14753,1120,90395000
2002,444,14375,1063,88508000
2003,444,14121,1047,103207000
2004,444,13708,1034,102759000
2005,444,13702,1025,107594000
2006,444,14168,1001,98495000
2007,444,14094,1028,105942000
2008,444,15599,1051,120102000
2009,444,15563,1043,125924000
2010,444,15608,1040,126318000
2011,444,16531,1067,142233000
2012,444,16442,1067,155189000
2013,444,16810,1082,158146000
2014,444,16681,1065,167316000
2015,444,17066,1065,180985000
2016,444,16442,1073,177306000
2017,444,16370,1065,179048000
2018,444,16545,1047,186667000
2019,444,16799,1029,190642000
2001,445,18664,1662,152545000
2002,445,19832,1719,171234000
2003,445,19975,1741,179776000
2004,445,20256,1754,191640000
2005,445,21075,1777,201961000
2006,445,23256,1854,240076000
2007,445,25068,1934,275705000
2008,445,26708,1949,328397000
2009,445,26083,1912,305679000
2010,445,25674,1941,326379000
2011,445,26774,1931,359438000
2012,445,26492,1923,370361000
2013,445,26122,1918,366950000
2014,445,26206,1930,376979000
2015,445,25964,1975,382818000
2016,445,23760,1925,335833000
2017,445,23334,1946,319158000
2018,445,23253,1924,334411000
2019,445,23080,1947,341422000
2001,446,49770,3382,268582000
2002,446,47400,3380,267772000
2003,446,46563,3347,275740000
2004,446,47351,3373,283079000
2005,446,45396,3365,283915000
2006,446,45580,3387,303006000
2007,446,44459,3417,305224000
2008,446,43084,3336,311077000
2009,446,41009,3220,289935000
2010,446,40304,3207,284255000
2011,446,40436,3180,294740000
2012,446,41069,3204,316711000
2013,446,40147,3183,319550000
2014,446,40027,3141,341928000
2015,446,41974,3155,366090000
2016,446,43019,3171,367303000
2017,446,42836,3178,382718000
2018,446,42654,3158,398123000
2019,446,44360,3161,433727000
2001,447,140134,10493,961262000
2002,447,149154,11037,1072312000
2003,447,149662,11284,1071135000
2004,447,158451,11693,1164053000
2005,447,161354,12039,1253365000
2006,447,170776,12458,1406428000
2007,447,187396,13530,1631684000
2008,447,197481,13823,1782527000
2009,447,190312,13784,1735063000
2010,447,187320,13826,1690584000
2011,447,199755,13921,1924051000
2012,447,215623,14554,2188781000
2013,447,219879,15096,2204269000
2014,447,229227,15671,2428333000
2015,447,241101,16252,2573237000
2016,447,246375,16906,2568766000
2017,447,256275,17801,2821554000
2018,447,259696,18242,2980240000
2019,447,271786,18827,3248339000
2001,448,109011,6228,707891000
2002,448,103706,6220,673282000
2003,448,101896,6159,684771000
2004,448,100349,6211,667225000
2005,448,98433,6112,667565000
2006,448,98698,6085,680638000
2007,448,97173,6062,713898000
2008,448,95390,5960,688589000
2009,448,90610,5786,644358000
2010,448,87227,5749,624744000
2011,448,88946,5619,657890000
2012,448,91856,5573,711573000
2013,448,93458,5485,751454000
2014,448,95571,5479,785118000
2015,448,96105,5545,822387000
2016,448,97435,5536,832153000
2017,448,97701,5614,855233000
2018,448,97058,5547,873481000
2019,448,95971,5525,875576000
2001,449,4400,599,28077000
2002,449,4272,583,27017000
2003,449,4284,586,27764000
2004,449,4538,593,30892000
2005,449,4387,573,31057000
2006,449,4538,557,33919000
2007,449,4852,550,40031000
2008,449,4751,533,41604000
2009,449,4642,528,40060000
2010,449,4542,519,38644000
2011,449,4686,515,41344000
2012,449,4732,515,45912000
2013,449,4942,535,49870000
2014,449,5975,539,60442000
2015,449,5989,531,63426000
2016,449,5769,525,58751000
2017,449,4572,498,45135000
2018,449,4441,491,62257000
2019,449,4150,492,44534000
2001,450,21013,1602,105518000
2002,450,20357,1601,113928000
2003,450,20709,1538,112556000
2004,450,21006,1557,119965000
2005,450,21651,1540,128631000
2006,450,22582,1548,145860000
2007,450,22201,1527,153002000
2008,450,21981,1517,155233000
2009,450,20167,1446,149326000
2010,450,20811,1448,156194000
2011,450,20570,1413,158774000
2012,450,20283,1443,164688000
2013,450,19766,1387,157065000
2014,450,18762,1331,148192000
2015,450,18875,1322,145968000
2016,450,18642,1304,142080000
2017,450,18805,1295,148599000
2018,450,19136,1299,162773000
2019,450,19443,1278,169864000
2001,451,22854,2154,127017000
2002,451,23315,2270,135849000
2003,451,24709,2285,149161000
2004,451,24651,2345,155932000
2005,451,24666,2377,154864000
2006,451,25463,2418,168001000
2007,451,25473,2333,175671000
2008,451,26088,2289,192748000
2009,451,25012,2274,181448000
2010,451,24954,2262,177516000
2011,451,24963,2240,186548000
2012,451,26182,2248,207876000
2013,451,26399,2257,213044000
2014,451,27107,2213,224369000
2015,451,27307,2225,239228000
2016,451,28053,2231,241165000
2017,451,27624,2273,254818000
2018,451,27908,2238,268822000
2019,451,27675,2229,279907000
2001,452,35728,2933,178339000
2002,452,34745,2912,178616000
2003,452,34599,2906,173472000
2004,452,32751,2918,174479000
2005,452,33345,2909,183958000
2006,452,35141,2894,208874000
2007,452,36618,2993,222946000
2008,452,37700,3023,228281000
2009,452,36277,2947,228222000
2010,452,34737,2896,219608000
2011,452,35667,2830,233173000
2012,452,36134,2880,258868000
2013,452,36704,2851,270737000
2014,452,36126,2851,273940000
2015,452,34866,2814,266427000
2016,452,35443,2827,266910000
2017,452,34753,2790,272334000
2018,452,33718,2781,270839000
2019,452,33546,2768,279219000
2001,453,5203,468,28038000
2002,453,5008,451,26828000
2003,453,4696,468,27508000
2004,453,4868,450,27127000
2005,453,4717,448,26834000
2006,453,4846,448,31265000
2007,453,4881,452,31713000
2008,453,4866,437,33279000
2009,453,4726,425,32047000
2010,453,4498,415,29842000
2011,453,4650,410,31868000
2012,453,4615,415,34320000
2013,453,4506,408,35589000
2014,453,4326,401,36864000
2015,453,4457,408,36306000
2016,453,4250,402,36503000
2017,453,4238,403,37376000
2018,453,4134,399,35768000
2019,453,5478,395,50623000
2001,454,55381,3367,330730000
2002,454,55909,3481,352521000
2003,454,56533,3531,350104000
2004,454,58801,3634,358939000
2005,454,60609,3741,377550000
2006,454,60271,3803,403186000
2007,454,58975,3814,410905000
2008,454,59703,3695,427841000
2009,454,56974,3583,413483000
2010,454,56039,3548,406961000
2011,454,53674,3494,422736000
2012,454,55242,3534,457090000
2013,454,55653,3529,471029000
2014,454,55930,3507,476211000
2015,454,56531,3517,486935000
2016,454,57839,3580,492530000
2017,454,57194,3639,516827000
2018,454,58804,3673,549606000
2019,454,60346,3731,581943000
2001,455,42719,2722,290228000
2002,455,42257,2746,313457000
2003,455,41546,2689,308145000
2004,455,41244,2685,291996000
2005,455,40233,2721,289147000
2006,455,40834,2684,302508000
2007,455,38084,2656,280720000
2008,455,37381,2581,286555000
2009,455,36012,2536,274433000
2010,455,35772,2520,265282000
2011,455,35069,2475,267713000
2012,455,35554,2473,285688000
2013,455,36187,2428,293808000
2014,455,35924,2376,298572000
2015,455,36711,2392,311700000
2016,455,35597,2401,302844000
2017,455,36782,2402,350881000
2018,455,36357,2439,347478000
2019,455,35270,2446,350667000
2001,456,16346,1316,87053000
2002,456,15561,1290,83426000
2003,456,15345,1315,85049000
2004,456,15591,1296,90476000
2005,456,15457,1279,92778000
2006,456,16160,1258,103919000
2007,456,16264,1244,108777000
2008,456,15808,1252,114013000
2009,456,14504,1222,108144000
2010,456,13993,1189,97782000
2011,456,13869,1164,99528000
2012,456,13746,1168,108950000
2013,456,13369,1170,106032000
2014,456,13616,1157,110603000
2015,456,13988,1142,119931000
2016,456,13640,1127,116125000
2017,456,13177,1122,118148000
2018,456,13310,1105,127497000
2019,456,13250,1089,126489000
2001,457,68737,3934,485210000
2002,457,66413,3909,497229000
2003,457,61362,3883,465703000
2004,457,62397,3915,464927000
2005,457,61578,3960,484279000
2006,457,60630,4063,460454000
2007,457,59377,4143,455014000
2008,457,57605,4083,428502000
2009,457,54103,3972,383300000
2010,457,50149,3986,365360000
2011,457,50024,3859,382372000
2012,457,51542,3898,404535000
2013,457,53023,3898,444864000
2014,457,54960,3908,480685000
2015,457,56469,3986,498047000
2016,457,59402,3990,599186000
2017,457,61868,4096,613788000
2018,457,63191,4106,640223000
2019,457,65487,4150,676677000
2001,458,16717,1078,96698000
2002,458,15960,1064,93801000
2003,458,15390,1048,93218000
2004,458,16025,1066,95412000
2005,458,15994,1051,109558000
2006,458,15178,1050,99322000
2007,458,14751,1028,101372000
2008,458,14449,959,105739000
2009,458,13264,914,93046000
2010,458,12967,909,89163000
2011,458,12223,916,88902000
2012,458,12035,891,89467000
2013,458,11990,882,92152000
2014,458,11713,859,93607000
2015,458,11869,853,94144000
2016,458,12048,855,97026000
2017,458,11637,842,106071000
2018,458,11021,814,106651000
2019,458,11566,784,114725000
2001,459,1314,98,7142000
2002,459,1434,92,7578000
2003,459,1257,89,7359000
2004,459,1363,78,7741000
2005,459,1399,85,8174000
2006,459,1372,86,8534000
2007,459,1207,85,8310000
2008,459,2150,88,8597000
2009,459,1887,81,8769000
2010,459,1967,78,8786000
2011,459,1704,77,8807000
2012,459,1678,84,9757000
2013,459,1192,78,9675000
2014,459,1394,82,10468000
2015,459,1361,77,10161000
2016,459,1121,72,8793000
2017,459,1115,74,9028000
2018,459,1152,73,9744000
2019,459,1116,70,9652000
2001,460,3025,579,13554000
2002,460,2747,601,11970000
2003,460,2869,612,12596000
2004,460,3073,660,14502000
2005,460,3613,758,17007000
2006,460,4020,808,22637000
2007,460,4183,864,26102000
2008,460,3910,792,24915000
2009,460,3272,728,18858000
2010,460,3249,711,17961000
2011,460,3269,674,18474000
2012,460,3312,675,20939000
2013,460,3382,682,21865000
2014,460,3567,670,23161000
2015,460,3822,693,25477000
2016,460,3772,693,26154000
2017,460,4061,726,29365000
2018,460,4373,753,32723000
2019,460,4776,782,37041000
2001,461,3848,484,18149000
2002,461,3775,499,18139000
2003,461,3950,495,18393000
2004,461,3609,480,18550000
2005,461,3594,474,19502000
2006,461,3608,482,20030000
2007,461,3627,488,20748000
2008,461,3622,479,21444000
2009,461,3328,476,21331000
2010,461,3396,475,22081000
2011,461,3481,484,21699000
2012,461,3504,493,23797000
2013,461,3413,479,24146000
2014,461,3269,488,24573000
2015,461,3527,481,26104000
2016,461,3595,481,27482000
2017,461,3596,502,28846000
2018,461,3580,477,29172000
2019,461,3393,472,28935000
2001,462,40987,3168,239696000
2002,462,40738,3098,234881000
2003,462,38311,3028,226911000
2004,462,39280,3040,232211000
2005,462,40949,3047,259991000
2006,462,43152,3094,285003000
2007,462,40947,3115,277963000
2008,462,40505,3027,282514000
2009,462,36721,2927,257132000
2010,462,34853,2890,241386000
2011,462,34469,2844,252760000
2012,462,35546,2863,278619000
2013,462,36262,2783,279171000
2014,462,35006,2785,271233000
2015,462,35241,2757,280468000
2016,462,35278,2754,278962000
2017,462,35280,2794,296697000
2018,462,35591,2786,310858000
2019,462,36566,2732,325330000
2001,463,18673,1159,134239000
2002,463,19215,1181,140310000
2003,463,18962,1172,148368000
2004,463,19977,1211,156023000
2005,463,20309,1211,167914000
2006,463,21014,1202,184768000
2007,463,20793,1239,193365000
2008,463,20127,1214,195638000
2009,463,18064,1185,163688000
2010,463,17694,1157,161824000
2011,463,18112,1130,183318000
2012,463,18521,1105,194555000
2013,463,18773,1106,199898000
2014,463,19382,1091,207357000
2015,463,19869,1095,214618000
2016,463,19928,1088,207022000
2017,463,19031,1088,225279000
2018,463,18881,1073,230068000
2019,463,19529,1075,246750000
2001,464,37706,3114,191366000
2002,464,37026,3194,199773000
2003,464,37942,3283,199458000
2004,464,38411,3350,211606000
2005,464,38973,3291,229834000
2006,464,40528,3323,242228000
2007,464,39614,3333,247486000
2008,464,39118,3235,253832000
2009,464,37330,3233,240308000
2010,464,37228,3263,237706000
2011,464,36799,3285,249614000
2012,464,37923,3012,266197000
2013,464,37270,3037,262473000
2014,464,38883,3046,286492000
2015,464,37751,3067,281942000
2016,464,38567,3117,293956000
2017,464,38436,3045,304507000
2018,464,38320,3046,303934000
2019,464,38638,3031,314857000
2001,465,30554,3028,196930000
2002,465,31253,3090,212077000
2003,465,31586,3127,217584000
2004,465,33456,3195,236666000
2005,465,34084,3242,250464000
2006,465,36582,3321,292730000
2007,465,39311,3387,344576000
2008,465,41255,3436,394499000
2009,465,38686,3406,366313000
2010,465,36303,3361,343668000
2011,465,36155,3367,359082000
2012,465,39561,3414,436469000
2013,465,40384,3419,446238000
2014,465,41119,3471,474763000
2015,465,41289,3465,493588000
2016,465,37748,3401,421229000
2017,465,35642,3400,411662000
2018,465,36611,3378,442360000
2019,465,37202,3356,481062000
2001,466,43375,3477,272118000
2002,466,44315,3575,288401000
2003,466,43668,3567,293321000
2004,466,43676,3601,293503000
2005,466,43867,3576,307773000
2006,466,43964,3565,322789000
2007,466,44393,3545,330309000
2008,466,44417,3530,349441000
2009,466,41668,3474,325262000
2010,466,41558,3448,336076000
